Classroom License -- for classroom instructional use only.

01/06/2007	175000.00
01/09/2007	180000.00
01/12/2007	185000.00
01/03/2008	189995.00
01/06/2008	191000.00
01/09/2008	191000.00
01/12/2008	190000.00
01/03/2009	185250.00
01/06/2009	175000.00
01/09/2009	163500.00
01/12/2009	160000.00
01/03/2010	160000.00
01/06/2010	162500.00
01/09/2010	167000.00
01/12/2010	170000.00
01/03/2011	171500.00
01/06/2011	170000.00
01/09/2011	170000.00
01/12/2011	170000.00
01/03/2012	170000.00
01/06/2012	171000.00
01/09/2012	172000.00
01/12/2012	174000.00
01/03/2013	175000.00
01/06/2013	175995.00
01/09/2013	178500.00
01/12/2013	180995.00
01/03/2014	185050.00
01/06/2014	193000.00
01/09/2014	205000.00
01/12/2014	215000.00
01/03/2015	220000.00
01/06/2015	227500.00
01/09/2015	235000.00
01/12/2015	245500.00
01/03/2016	255000.00
01/06/2016	265000.00
01/09/2016	277000.00
01/12/2016	290000.00
01/03/2017	300000.00
01/06/2017	302000.00
01/09/2017	302000.00
01/12/2017	300000.00
]

barking =

   1.0e+05 *

    0.0000    0.4900
    0.0000    0.5000
    0.0000    0.5000
    0.0000    0.5000
    0.0000    0.5000
    0.0000    0.4995
    0.0000    0.5000
    0.0000    0.5200
    0.0000    0.5350
    0.0000    0.5500
    0.0000    0.5650
    0.0000    0.5800
    0.0000    0.5999
    0.0000    0.6000
    0.0000    0.6000
    0.0000    0.6300
    0.0000    0.6500
    0.0000    0.6700
    0.0000    0.7000
    0.0000    0.7500
    0.0000    0.7800
    0.0000    0.8000
    0.0000    0.8300
    0.0000    0.8600
    0.0000    0.8950
    0.0000    0.9300
    0.0000    0.9900
    0.0000    1.0700
    0.0000    1.1525
    0.0000    1.2400
    0.0000    1.3200
    0.0000    1.3700
    0.0000    1.4000
    0.0000    1.4500
    0.0000    1.5000
    0.0000    1.5500
    0.0000    1.6000
    0.0000    1.6250
    0.0000    1.6400
    0.0000    1.6300
    0.0000    1.6300
    0.0000    1.6300
    0.0000    1.6450
    0.0000    1.6500
    0.0000    1.6800
    0.0000    1.7000
    0.0000    1.7500
    0.0000    1.8000
    0.0000    1.8500
    0.0000    1.9000
    0.0000    1.9100
    0.0000    1.9100
    0.0000    1.9000
    0.0000    1.8525
    0.0000    1.7500
    0.0000    1.6350
    0.0000    1.6000
    0.0000    1.6000
    0.0000    1.6250
    0.0000    1.6700
    0.0000    1.7000
    0.0000    1.7150
    0.0000    1.7000
    0.0000    1.7000
    0.0000    1.7000
    0.0000    1.7000
    0.0000    1.7100
    0.0000    1.7200
    0.0000    1.7400
    0.0000    1.7500
    0.0000    1.7599
    0.0000    1.7850
    0.0000    1.8099
    0.0000    1.8505
    0.0000    1.9300
    0.0000    2.0500
    0.0000    2.1500
    0.0000    2.2000
    0.0000    2.2750
    0.0000    2.3500
    0.0000    2.4550
    0.0000    2.5500
    0.0000    2.6500
    0.0000    2.7700
    0.0000    2.9000
    0.0000    3.0000
    0.0000    3.0200
    0.0000    3.0200
    0.0000    3.0000

>> barking = [3	49000.00
6	49995.00
9	50000.00
12	49995.00
15	49995.00
18	49950.00
21	50000.00
24	52000.00
27	53500.00
30	54995.00
33	56500.00
36	58000.00
39	59995.00
42	60000.00
45	60000.00
48	63000.00
51	65000.00
54	67000.00
57	70000.00
60	74995.00
63	78000.00
66	80000.00
69	83000.00
72	86000.00
75	89500.00
78	93000.00
81	99000.00
84	107000.00
87	115250.00
90	124000.00
93	131995.00
96	137000.00
99	140000.00
102	145000.00
105	150000.00
108	155000.00
111	159995.00
114	162500.00
117	164000.00
120	163000.00
123	163000.00
126	163000.00
129	164500.00
132	165000.00
135	167998.00
138	170000.00
141	175000.00
144	180000.00
147	185000.00
150	189995.00
153	191000.00
156	191000.00
159	190000.00
162	185250.00
165	175000.00
168	163500.00
171	160000.00
174	160000.00
177	162500.00
180	167000.00
183	170000.00
186	171500.00
189	170000.00
192	170000.00
195	170000.00
198	170000.00
201	171000.00
204	172000.00
207	174000.00
210	175000.00
213	175995.00
216	178500.00
219	180995.00
222	185050.00
225	193000.00
228	205000.00
231	215000.00
234	220000.00
237	227500.00
240	235000.00
243	245500.00
246	255000.00
249	265000.00
252	277000.00
255	290000.00
258	300000.00
261	302000.00
264	302000.00
267	300000.00
];
>> save barking
>> regressionWithCode
Warning: MATLAB has disabled some advanced graphics rendering features by switching to
software OpenGL. For more information, click here. 
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
Error: File: regressionWithCode.m Line: 17 Column: 7
Character vector is not terminated properly.
 
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> regressionWithCode
>> kensington
Undefined function or variable 'kensington'.

Error in kensington (line 1)
x = kensington(:, 1);      %month
 
>> 
